Date,AMZN,BIDU,BT,CHL,CMCSA,CSCO,DCM,DIS,GOOGL,NTT,PCLN,T,TV,TWX,VOD,VZ
2013-09-20,316.339996,146.25,51.73193,53.106336999999996,42.753941,22.880782,16.33,63.044571999999995,452.007025,26.58,1003.01001,30.38839,28.449143,59.22430500000001,30.459975,43.120898
2013-09-23,311.48999,149.259995,51.930321,53.330732,42.310992,22.656735,16.35,62.79243100000001,443.693701,26.57,996.76001,30.308677000000003,28.548372999999998,58.450611,30.586964000000002,43.301396000000004
2013-09-24,314.130005,150.130005,51.779169,53.012841,42.07026,22.535376,16.549999,62.375431000000006,443.86386699999997,26.73,1005.98999,30.193534999999997,28.052225,58.349291,31.230995,42.66063
2013-09-25,312.649994,150.679993,51.892532,52.825846999999996,41.646574,22.8061,16.35,62.501498,439.05405199999996,26.450001,997.320007,30.158106,28.081992,58.92035799999999,31.539410999999998,42.371834
2013-09-26,318.119995,154.279999,52.043684000000006,53.153085,42.46506,22.189971,16.219998999999998,63.267615,439.524511,26.49,1011.6099849999999,30.317533,27.883534,59.749311,31.793391999999997,43.021623999999996
2013-09-27,316.01001,153.83999599999999,52.771106,53.096989,43.081336,21.779218,16.15,63.219131000000004,438.633642,26.32,1014.9699710000001,30.096107,27.764458,60.974314,31.748034000000004,42.416958
2013-09-30,312.640015,155.179993,52.242071,52.760399,43.637440000000005,21.872571,16.219998999999998,62.540289,438.393408,26.059998999999998,1010.9500119999999,29.954395,27.734690000000004,60.615101,31.911314,42.119135
2013-10-01,320.950012,158.639999,53.252903,53.106336999999996,44.111340999999996,21.853764,16.030001000000002,62.870014000000005,443.94394500000004,26.049999,1038.27002,30.166965,28.270528999999996,61.416433,32.074583000000004,42.407934999999995
2013-10-02,320.51001,159.940002,53.300137,52.825846999999996,43.956599,21.928992,15.91,62.918498,444.439459,26.360001,1067.380005,30.060678999999997,28.330067,61.121692,32.500921000000005,42.227436
2013-10-03,314.76001,157.080002,52.950598,51.582334,43.531054,21.637484,15.99,62.084497999999996,438.483496,25.959999,1049.310059,29.794969000000002,27.833918,60.136163,32.237863,42.425981
2013-10-04,319.040009,159.0,53.186774,51.376643,44.140353999999995,21.646888,16.08,63.32580600000001,436.611608,26.290001,1062.170044,29.892396999999995,28.260606,61.2138,32.165295,42.507206
2013-10-07,310.02999900000003,157.53999299999998,52.57271899999999,50.600615000000005,43.618097,21.524641,15.93,62.637265,433.30332000000004,26.49,1041.680054,30.113822,27.873611,60.513792,31.875026000000002,42.678681
2013-10-08,303.230011,148.75,51.476864,50.843709999999994,43.153869,21.289553,15.65,62.065105,427.26227400000005,25.84,998.1300050000001,29.718887,27.496537,59.887465,31.539410999999998,42.030649
2013-10-09,298.230011,146.53999299999998,51.675251,50.731511,42.873401,21.157904000000002,15.89,61.667501,428.35837300000003,26.32,989.0300289999999,30.293338000000002,27.179003,59.50983299999999,31.240061999999998,42.167558
2013-10-10,305.170013,153.16000400000001,52.752210999999996,51.376643,43.859882,21.637484,16.15,63.59734,434.55454100000003,26.93,1013.1900019999999,30.652371999999996,27.744611,62.005908,31.611968,42.769952
2013-10-11,310.890015,154.899994,52.723870999999995,51.657133,44.546556,21.891379,16.09,64.20829,436.431433,27.09,1010.6300050000001,30.69725,29.471209,62.558546,32.138084,42.979877
2013-10-14,310.700012,152.96000700000002,53.47963299999999,51.554286,44.933409999999995,21.9478,16.110001,64.809549,438.49350499999997,27.09,1017.6300050000001,30.445925,29.233056,62.669079,32.228786,42.724317
